,agent1
ep1315,12.0
ep1316,10.0
ep1317,16.0
ep1318,12.0
ep1319,15.0
ep1320,16.0
ep1321,15.0
ep1322,16.0
ep1323,16.0
ep1324,12.0
ep1325,15.0
ep1326,12.0
ep1327,9.0
ep1328,16.0
ep1329,8.0
ep1330,12.0
ep1331,15.0
ep1332,14.0
ep1333,14.0
ep1334,16.0
ep1335,9.0
ep1336,16.0
ep1337,15.0
ep1338,14.0
ep1339,16.0
ep1340,16.0
ep1341,12.0
ep1342,16.0
ep1343,7.0
ep1344,16.0
ep1345,16.0
ep1346,16.0
ep1347,16.0
ep1348,16.0
ep1349,15.0
ep1350,16.0
ep1351,12.0
ep1352,14.0
ep1353,15.0
ep1354,10.0
ep1355,16.0
ep1356,16.0
ep1357,15.0
ep1358,16.0
ep1359,14.0
ep1360,16.0
ep1361,16.0
ep1362,12.0
ep1363,16.0
ep1364,13.0
ep1365,15.0
ep1366,16.0
ep1367,16.0
ep1368,10.0
ep1369,14.0
ep1370,16.0
ep1371,14.0
ep1372,16.0
ep1373,16.0
ep1374,16.0
ep1375,16.0
ep1376,15.0
ep1377,9.0
ep1378,12.0
ep1379,15.0
ep1380,14.0
ep1381,16.0
ep1382,10.0
ep1383,11.0
ep1384,7.0
ep1385,9.0
ep1386,7.0
ep1387,13.0
ep1388,16.0
ep1389,16.0
ep1390,16.0
ep1391,16.0
ep1392,14.0
ep1393,13.0
ep1394,7.0
ep1395,15.0
ep1396,13.0
ep1397,15.0
ep1398,16.0
ep1399,10.0
ep1400,16.0
ep1401,13.0
ep1402,16.0
ep1403,16.0
ep1404,16.0
ep1405,14.0
ep1406,16.0
ep1407,16.0
ep1408,11.0
ep1409,13.0
ep1410,7.0
ep1411,16.0
ep1412,14.0
ep1413,11.0
ep1414,16.0
ep1415,15.0
ep1416,16.0
ep1417,16.0
ep1418,16.0
ep1419,14.0
ep1420,13.0
ep1421,9.0
ep1422,16.0
ep1423,14.0
ep1424,16.0
ep1425,16.0
ep1426,16.0
ep1427,16.0
ep1428,16.0
ep1429,16.0
ep1430,16.0
ep1431,15.0
ep1432,16.0
ep1433,16.0
ep1434,16.0
ep1435,13.0
ep1436,16.0
ep1437,11.0
ep1438,13.0
ep1439,16.0
ep1440,11.0
ep1441,16.0
ep1442,14.0
ep1443,11.0
ep1444,16.0
ep1445,16.0
ep1446,16.0
ep1447,13.0
ep1448,14.0
ep1449,14.0
ep1450,16.0
ep1451,16.0
ep1452,10.0
ep1453,16.0
ep1454,16.0
ep1455,16.0
ep1456,16.0
ep1457,10.0
ep1458,16.0
ep1459,16.0
ep1460,16.0
ep1461,15.0
ep1462,16.0
ep1463,14.0
ep1464,16.0
ep1465,15.0
ep1466,12.0
ep1467,16.0
ep1468,16.0
ep1469,16.0
ep1470,7.0
ep1471,16.0
ep1472,15.0
ep1473,16.0
ep1474,16.0
ep1475,16.0
ep1476,12.0
ep1477,16.0
ep1478,14.0
ep1479,14.0
ep1480,14.0
ep1481,16.0
ep1482,16.0
ep1483,16.0
ep1484,16.0
ep1485,16.0
ep1486,13.0
ep1487,16.0
ep1488,16.0
ep1489,13.0
ep1490,16.0
ep1491,16.0
ep1492,13.0
ep1493,13.0
ep1494,12.0
ep1495,11.0
ep1496,16.0
ep1497,16.0
